state_abbrev,state_name,POPESTIMATE2023
US,United States,334914895
NR,Northeast Region,56983517
NG,New England,15159777
ML,Middle Atlantic,41823740
MR,Midwest Region,68909283
EN,East North Central,47146039
WN,West North Central,21763244
SR,South Region,130125290
SA,South Atlantic,68225883
ES,East South Central,19700801
WS,West South Central,42198606
WR,West Region,78896805
MU,Mountain,25716830
PC,Pacific,53179975
AL,Alabama,5108468
AK,Alaska,733406
AZ,Arizona,7431344
AR,Arkansas,3067732
CA,California,38965193
CO,Colorado,5877610
CT,Connecticut,3617176
DE,Delaware,1031890
DC,District of Columbia,678972
FL,Florida,22610726
GA,Georgia,11029227
HI,Hawaii,1435138
ID,Idaho,1964726
IL,Illinois,12549689
IN,Indiana,6862199
IA,Iowa,3207004
KS,Kansas,2940546
KY,Kentucky,4526154
LA,Louisiana,4573749
ME,Maine,1395722
MD,Maryland,6180253
MA,Massachusetts,7001399
MI,Michigan,10037261
MN,Minnesota,5737915
MS,Mississippi,2939690
MO,Missouri,6196156
MT,Montana,1132812
NE,Nebraska,1978379
NV,Nevada,3194176
NH,New Hampshire,1402054
NJ,New Jersey,9290841
NM,New Mexico,2114371
NY,New York,19571216
NC,North Carolina,10835491
ND,North Dakota,783926
OH,Ohio,11785935
OK,Oklahoma,4053824
OR,Oregon,4233358
PA,Pennsylvania,12961683
RI,Rhode Island,1095962
SC,South Carolina,5373555
SD,South Dakota,919318
TN,Tennessee,7126489
TX,Texas,30503301
UT,Utah,3417734
VT,Vermont,647464
VA,Virginia,8715698
WA,Washington,7812880
WV,West Virginia,1770071
WI,Wisconsin,5910955
WY,Wyoming,584057
PR,Puerto Rico,3205691
